config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
5033ae01f908,0.9,0.2,1.0,1e-10,1.5931964953072803e-12,4.1269241299487343e-13,1.50492372391597e-12,5.901769039215952e-13,5
4cf2b39e2665,0.9,0.3,0.5,1e-10,4.529135977692945e-12,1.037005087692793e-12,4.165118996274549e-12,1.1083650838026592e-12,5
368e64069d5f,0.9,0.3,0.6,1e-10,3.112121185332368e-12,8.822709864611116e-13,2.8873082641442213e-12,8.900238546159721e-13,5
f669676d58af,0.9,0.3,0.7,1e-10,2.443893515532728e-12,8.323596163344051e-13,2.2291932341005094e-12,8.131030615501872e-13,5
a47504a75fde,0.9,0.3,0.8,1e-10,2.033697173189806e-12,7.534995121370375e-13,1.8233919975079963e-12,6.935437025688837e-13,5
8246ed9a8b68,0.9,0.3,0.9,1e-10,1.686069501090726e-12,6.619266461815447e-13,1.5184488239030529e-12,5.80042378177487e-13,5
e74399494040,0.9,0.3,1.0,1e-10,1.3303363162524948e-12,4.899776271141438e-13,1.224138032194853e-12,4.0967117536177326e-13,5
974a39a7bc80,0.9,0.4,0.5,1e-10,4.26059559712567e-12,9.1342284409571e-13,3.826777285850349e-12,9.412487305056884e-13,5
5cdb0551167b,0.9,0.4,0.6,1e-10,2.4949533691842974e-12,5.715438845762832e-13,2.3746628382504628e-12,6.084791488132412e-13,5
ce0331293b2e,0.9,0.4,0.7,1e-10,1.7336195491039455e-12,3.736327005636081e-13,1.713412452224179e-12,4.962671507912361e-13,5
83b90ec6a3a2,0.9,0.4,0.8,1e-10,1.381902254056408e-12,3.155732915127283e-13,1.384996107831486e-12,4.215849784428713e-13,5
7cfedd757ff7,0.9,0.4,0.9,1e-10,1.1612142525947508e-12,2.910570101815414e-13,1.1928893190626726e-12,3.7039984679471545e-13,5
e3f517fda7c3,0.9,0.4,1.0,1e-10,1.003900079327264e-12,3.173453880518539e-13,1.065776646715624e-12,3.984487840263812e-13,5
7596c4498d94,1.0,0.05,0.5,1e-10,3.991159077051477e-11,9.342939288766214e-12,3.528642192726475e-11,8.384534614438618e-12,5
5a90ec51096c,1.0,0.05,0.6,1e-10,2.4291240889956014e-11,8.598845126999974e-12,2.107673336186413e-11,6.897142993225936e-12,5
8d636eb32b9d,1.0,0.05,0.7,1e-10,1.8395716972915633e-11,7.216439561313839e-12,1.6564523203166886e-11,6.995931249336262e-12,5
31ed3fdf679f,1.0,0.05,0.8,1e-10,1.6651111019054015e-11,5.769802878124681e-12,1.24880143164311e-11,3.650835669844999e-12,5
2e460f1e65c7,1.0,0.05,0.9,1e-10,4.287163925381096e-11,6.616855539752243e-11,9.592560535280827e-12,2.989558718036528e-12,5
