task,task_global_rank,design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_design,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,n_seeds,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std
narma10,32,region_selection_multitask_v1,random_sparse,b2d34da00210,1.05,0.05,1.0,0.169720206002207,0.16905677723191884,40.333333333333336,40.333333333333336,32,80,9,32,80,9,7,0.169720206002207,0.04160202414629415,0.16905677723191884,0.037743263149751766,0.24095469584216725,0.11566165636554547,0.2162850570815039,0.11001345375191081,26.696149123936582,2.943151596108959
narma10,33,region_selection_multitask_v1,random_sparse,f582b65bcd84,1.05,0.1,1.0,0.17416786471566273,0.17248837422401658,42.0,42.0,33,76,17,33,76,17,7,0.17416786471566273,0.045232202043725356,0.17248837422401658,0.041348765605892075,0.21327167669229677,0.11717663710814373,0.1935767951033411,0.10912853354796248,24.12502289805684,2.266872338733537
narma10,34,region_selection_multitask_v1,random_sparse,f2d94277ec67,1.0,0.8,1.0,0.18273732809423776,0.17747293491000468,39.0,39.0,34,46,37,34,46,37,7,0.18273732809423776,0.03779633240778922,0.17747293491000468,0.034862289420869254,0.06715025003859335,0.007759788262142092,0.06293834714448948,0.010776635579659737,13.042265236427067,0.744369631233493
narma10,35,region_selection_multitask_v1,random_sparse,fe4ea45528c8,1.05,0.2,1.0,0.18384042889948585,0.1780019198618592,41.666666666666664,41.666666666666664,35,68,22,35,68,22,7,0.18384042889948585,0.05380536923928205,0.1780019198618592,0.04418275333251435,0.1642709491000303,0.08777086537616782,0.15764343651208643,0.07959028632349037,22.025325705915996,1.5875547793999818
narma10,36,region_selection_multitask_v1,random_sparse,4df7ca5b3a5c,1.0,0.4,0.5,0.2001570845370088,0.21026116372682252,33.0,33.0,36,25,38,36,25,38,7,0.2001570845370088,0.03318382050022615,0.21026116372682252,0.019237905803260798,0.0290688782032806,0.0078026162402634845,0.02697476381101508,0.007442783569976959,12.99525931780801,0.5578386201460045
narma10,37,region_selection_multitask_v1,random_sparse,7351146d69e7,0.8,0.4,0.5,0.2016713731851199,0.20770340441433469,39.666666666666664,39.666666666666664,37,34,48,37,34,48,7,0.2016713731851199,0.033395329965368946,0.20770340441433469,0.01864752850959393,0.057664930339552674,0.015405785625297715,0.055148609425022165,0.010343741789613135,11.443578878443905,0.2201024086399909
narma10,38,region_selection_multitask_v1,random_sparse,7e90ea8b003f,1.2,0.8,0.9,0.2019945624506903,0.19938753222879843,35.333333333333336,35.333333333333336,38,32,36,38,32,36,7,0.2019945624506903,0.07341581034972396,0.19938753222879843,0.06737904996211927,0.05432799989689668,0.0113386790197895,0.052241744890651025,0.008909358380564199,13.089400404239969,0.8066036170436791
narma10,39,region_selection_multitask_v1,random_sparse,298a7459cef0,1.2,1.0,0.9,0.20395337503379318,0.2042011067403943,37.666666666666664,37.666666666666664,39,30,44,39,30,44,7,0.20395337503379318,0.06495317101704795,0.2042011067403943,0.054753367657922956,0.052626778401274346,0.0048040358115543965,0.05150402992264334,0.008038373130861138,11.675806355396801,0.6363417257791253
narma10,40,region_selection_multitask_v1,random_sparse,6e19523ed075,1.0,1.0,1.0,0.20776431139067997,0.20147191941204332,44.666666666666664,44.666666666666664,40,47,47,40,47,47,7,0.20776431139067997,0.04381704154844324,0.20147191941204332,0.042626238748050715,0.06819757695159548,0.009527766332348978,0.06398635869678695,0.008058353202492345,11.44509361642295,0.6581710214372988
narma10,41,region_selection_multitask_v1,random_sparse,5f10f74cdd24,1.0,0.8,0.5,0.21262911244972563,0.2216180114495885,39.666666666666664,39.666666666666664,41,23,55,41,23,55,7,0.21262911244972563,0.03308319605997776,0.2216180114495885,0.02057355342955846,0.026965839676364473,0.0052688530050866815,0.02431555800195173,0.00456264781103044,10.367830653796103,0.41514361440460934
narma10,42,region_selection_multitask_v1,random_sparse,ed6c2e29b26f,1.0,1.5,0.9,0.21517489826053265,0.2084463662859519,50.0,50.0,42,33,75,42,33,75,7,0.21517489826053265,0.032413829569981144,0.2084463662859519,0.03938784227799612,0.05762071606445502,0.006560330123902394,0.054083910666437154,0.006026928940951934,8.569500635005385,0.47357955427039194
narma10,43,region_selection_multitask_v1,random_sparse,717e5ae93526,0.8,0.8,0.5,0.21544280136047295,0.21995553500736648,45.666666666666664,45.666666666666664,43,29,65,43,29,65,7,0.21544280136047295,0.03538683552494405,0.21995553500736648,0.021119603146093728,0.03952955111247196,0.005485797428029646,0.037516364287798094,0.007248187270804928,9.231733677938418,0.28264880341954923
narma10,44,region_selection_multitask_v1,random_sparse,40227e569acb,1.2,0.4,0.9,0.21601705762356613,0.20855205431393492,43.333333333333336,43.333333333333336,44,53,33,44,53,33,7,0.21601705762356613,0.10662416596930434,0.20855205431393492,0.10246725975465099,0.09497318119516622,0.0796749048048029,0.09211040225397234,0.07412223535118344,15.791114363647525,1.8409121122492142
narma10,45,region_selection_multitask_v1,random_sparse,f59210cf20da,1.0,1.0,0.5,0.21751503413129325,0.2257881249884725,42.333333333333336,42.333333333333336,45,22,60,45,22,60,7,0.21751503413129325,0.03399176770889808,0.2257881249884725,0.0210597831052675,0.026280708872330447,0.0032677173899562316,0.023269624837378426,0.005329256515253956,9.442107261526147,0.392098835241634
narma10,46,region_selection_multitask_v1,random_sparse,46c103ca0ecf,0.8,1.0,0.5,0.2223582377720785,0.22650487224969787,50.0,50.0,46,28,76,46,28,76,7,0.2223582377720785,0.036151198313286274,0.22650487224969787,0.021939061342762398,0.03731313651121399,0.005094585829431159,0.035259834231974076,0.006954096227310636,8.435026230287335,0.25496140550878155
narma10,47,region_selection_multitask_v1,random_sparse,390b8969c36d,1.2,0.8,0.5,0.2256131525376821,0.23550238349888492,37.666666666666664,37.666666666666664,47,13,53,47,13,53,7,0.2256131525376821,0.027988973433973746,0.23550238349888492,0.037217531465782196,0.020486341833018323,0.005955097775852852,0.01843625602302044,0.005970480897319834,10.459758436081469,1.3122441764802666
narma10,48,region_selection_multitask_v1,random_sparse,e18bae0602dc,1.2,1.0,0.5,0.22763860201743016,0.2356725125241206,39.666666666666664,39.666666666666664,48,15,56,48,15,56,7,0.22763860201743016,0.027952725519395975,0.2356725125241206,0.030969857896023554,0.021602802610935445,0.004572954065886665,0.019661050268352208,0.004411610914307791,9.853477246079125,0.8161389452573343
