task,task_global_rank,design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,global_aggregate_rank,aggregate_rank_within_design,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,diag_spectral_radius_mean,diag_spectral_norm_mean,diag_henrici_departure_mean,diag_transient_growth_max_mean,n_seeds,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,mc_total_mean,delta_vs_baseline_narma10_val_nmse,delta_vs_baseline_mg_val_nmse,delta_vs_baseline_mc_total,diag_mean_abs_eigenvalue_mean,diag_frobenius_norm_mean,diag_density_mean,diag_singular_value_max_mean,diag_singular_value_min_mean,diag_singular_value_mean_mean,diag_singular_value_q90_mean,diag_singular_condition_number_mean,diag_transient_growth_argmax_mean,task_test_metric
memory_capacity,160,cycle_jump_j7,cycle_jump,e18bae0602dc,1.2,1.0,0.5,7.839522692644536,108.66666666666667,17.0,19,8,24,120,46,160,1.1999999999999955,1.1999999999999946,0.0,753679854845.5516,7,0.24754175805103182,0.2499208778532813,0.01848852238506738,0.016275951072117854,7.839522692644536,0.019907150209137747,-0.0031135132365023716,-2.013954553434605,0.9439657060807887,9.63720600822508,0.02,1.1999999999999946,0.6461538461538433,0.943965706080788,1.185780943991863,1.8571428571428574,150.0,
memory_capacity,161,multiscale_two_random,multiscale,71bb84fdc255,1.4,1.5,0.5,7.8155588012066834,121.66666666666667,21.333333333333332,25,7,32,108,96,161,1.4006490944876837,2.796703057934039,0.755599917558585,2.734634575349156e+22,7,0.2338798395942501,0.24070601852553564,0.025947590733265517,0.02453927141385184,7.8155588012066834,-0.023098083532838848,0.0034760490130820026,-0.36728510076859333,0.6213918024452535,10.758746887882749,0.15025714285714287,2.796703057934039,0.002455663420939462,0.8464677122710745,1.7716315184806695,22840.887306003402,150.0,
memory_capacity,162,cycle_jump_j3,cycle_jump,1fba7e1dce2c,1.0,1.5,0.3,7.788471261241511,125.66666666666667,16.0,22,4,22,186,29,162,0.9999999999999993,0.9999999999999993,0.0,0.9999999999999993,7,0.3092201001288485,0.3105583764744054,0.01595201514599414,0.013674228293830528,7.788471261241511,0.01521659376287543,0.0010840197861599309,0.5630251295260935,0.7866380884006601,8.031005006854263,0.02,0.9999999999999993,0.5384615384615382,0.78663808840066,0.9881507866598894,1.8571428571428574,1.0,
memory_capacity,163,random_sparse_baseline,random_sparse,9af27047188b,1.2,1.5,0.3,7.732999753685562,115.33333333333333,22.0,32,3,31,175,8,163,1.1999999999999993,2.304079409921369,0.7274995562115281,2284411263959.0093,7,0.296827818350841,0.298087060636998,0.013264784480303726,0.012062479027328404,7.732999753685562,,,,0.7177310818898806,11.251538232464569,0.09999999999999999,2.304079409921369,0.005031789221482092,0.9359262707377114,1.8386803354101284,689.041788201086,150.0,
memory_capacity,164,multiscale_two_random,multiscale,dc7bdefae761,1.2,1.5,0.5,7.7248695424675775,132.0,22.666666666666668,23,12,33,102,130,164,1.200755147803551,2.398225188522893,0.7551342629735603,2616620224838.9507,7,0.22520613642932324,0.23562628809193967,0.029990039485686175,0.0283459812759148,7.7248695424675775,-0.0114470492328336,0.007155096084217286,-0.5033885757019769,0.5345854391088933,9.23379791169894,0.15025714285714287,2.398225188522893,0.002623235540029237,0.7268698055967645,1.5205325757705836,1226.6644691586037,150.0,
memory_capacity,165,random_sparse_baseline,random_sparse,a86d99ada30e,1.0,1.5,0.5,7.651168881146824,129.33333333333334,24.0,19,21,32,109,114,165,1.0000383897272982,1.9201412437397372,0.7274995562115281,4.030601190217249,7,0.23477966735478648,0.24111806742981035,0.027858593326969588,0.025070741742331867,7.651168881146824,,,,0.5981323425159991,9.376647653278953,0.09999999999999999,1.9201412437397372,0.004193359425070028,0.7799687871060529,1.532294495264083,689.0417882010978,25.0,
memory_capacity,166,multiscale_three_random,multiscale,059a4ddb8c9d,1.4,1.0,0.3,7.529138315056808,122.66666666666667,21.666666666666668,34,1,30,168,34,166,1.4016080719462036,2.9928549877162185,0.7828311768138957,3.0456052690352345e+22,7,0.2899852970125139,0.29771381530466595,0.016611340787335865,0.015177241276779654,7.529138315056808,-0.03846727669879518,0.00296212886257902,0.42410268887905733,0.5977017181022097,11.212929456200007,0.11647142857142857,2.9928549877162185,0.00103584920879922,0.8631420002754782,1.8801070498550005,5943.607156096757,150.0,
memory_capacity,167,multiscale_three_random,multiscale,71bb84fdc255,1.4,1.5,0.5,7.485978226494628,130.66666666666666,22.666666666666668,23,14,31,113,112,167,1.4016080719462036,2.9928549877162185,0.7828311768138957,3.0456052690352345e+22,7,0.2380424115415364,0.24074177730920746,0.02728573162553633,0.02548749081008463,7.485978226494628,-0.01893551158555254,0.004814189905352817,-0.696865675480649,0.5977017181022097,11.212929456200007,0.11647142857142857,2.9928549877162185,0.00103584920879922,0.8631420002754782,1.8801070498550005,5943.607156096757,150.0,
memory_capacity,168,cycle_jump_j3,cycle_jump,9af27047188b,1.2,1.5,0.3,7.459280368733774,120.0,15.666666666666666,23,1,23,188,4,168,1.2000000000000008,1.1999999999999993,0.0,753679854845.9592,7,0.3230168093527208,0.32540250204404914,0.011957113459748512,0.010934189353774595,7.459280368733774,0.026188991001879824,-0.0013076710205552136,-0.2737193849517885,0.9439657060807922,9.637206008225116,0.02,1.1999999999999993,0.6461538461538456,0.9439657060807922,1.185780943991867,1.8571428571428574,150.0,
memory_capacity,169,multiscale_three_random,multiscale,dc7bdefae761,1.2,1.5,0.5,7.415519642182069,139.33333333333334,24.0,24,16,32,114,135,169,1.201801212634739,2.565931417895572,0.7820874945333164,3295639431143.8975,7,0.2390761224159222,0.2440234350974624,0.03089709445231492,0.029873861226578962,7.415519642182069,0.0024229367537653423,0.008062151050846032,-0.8127384759874854,0.5151625565519871,9.620479323345235,0.11647142857142857,2.565931417895572,0.0011098908621590014,0.7412043039222279,1.6137957434730248,4582.19096754211,150.0,
memory_capacity,170,multiscale_two_random,multiscale,a86d99ada30e,1.0,1.5,0.5,7.408802392015778,140.66666666666666,24.333333333333332,24,15,34,107,145,170,1.0009021433903,1.9999747355820752,0.754406921049447,4.241492337094208,7,0.23119836861164897,0.2356363798356536,0.034094864581835395,0.03340491186420063,7.408802392015778,-0.0035812987431375065,0.006236271254865807,-0.24236648913104641,0.4479376867921199,7.711407678325702,0.15025714285714287,1.9999747355820752,0.002881764339246337,0.6075292188109892,1.2698525822734548,1098.8856514522136,47.285714285714285,
memory_capacity,171,random_sparse_baseline,random_sparse,b07b757cf213,1.4,1.5,0.3,7.367393611889434,127.33333333333333,23.333333333333332,36,1,33,208,3,171,1.3999999999999955,2.688092644908255,0.7274995562115282,2.5164756794721696e+22,7,0.36530347077767233,0.32701708703086274,0.011941128470514864,0.010959888729748004,7.367393611889434,,,,0.8373529288715238,13.126794604541947,0.09999999999999999,2.688092644908255,0.005870420758395792,1.0919139825273256,2.145127057978475,689.0417882010764,150.0,
memory_capacity,172,cycle_jump_j7,cycle_jump,390b8969c36d,1.2,0.8,0.5,7.366339094156619,142.0,21.0,27,11,25,193,61,172,1.1999999999999955,1.1999999999999946,0.0,753679854845.5516,7,0.3324328167770783,0.358161661381451,0.020498184561047728,0.01917212449667132,7.366339094156619,0.10682414273445437,1.0881821515998369e-05,-3.093419341924828,0.9439657060807887,9.63720600822508,0.02,1.1999999999999946,0.6461538461538433,0.943965706080788,1.185780943991863,1.8571428571428574,150.0,
