task,task_global_rank,model_name,model_kind,config_id,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_model,global_rank_delay_recall,global_rank_narma10,global_rank_mg,n_total_params_mean,n_trainable_params_mean,selected_fit_s_mean,selected_test_s_mean,selected_total_s_mean,tuning_total_s_sum,n_seeds,hidden_size,learning_rate,weight_decay,bptt_length,batch_size,num_layers,dropout,max_epochs,patience,grad_clip,training_mode,window_stride,window_washout,normalize_inputs,normalize_targets,max_train_seconds_per_run,delay_recall_memory_corr_total_mean,delay_recall_memory_eff_total_mean,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,diagnostic_total_s_mean,selected_fit_s_std,selected_test_s_std,selected_total_s_std,diagnostic_total_s_sum,rank_delay_recall_within_model,rank_narma10_within_model,rank_mg_within_model,delay_recall_test_memory_corr_total_mean,delay_recall_test_memory_eff_total_mean,spectral_radius,input_scaling,leak_rate,n_lags,feature_mode,ridge_param
mackey_glass,38,random_sparse_baseline,esn,9992b49ddf96,0.2216578435888785,0.2022816880055943,23.0,3.6666666666666665,16,15,38,13600.0,3400.0,1.2722914000041783,0.045834728566530564,1.3181261285707089,52.520950600053766,7,,,,,,,,,,,,,,,,,32.65084915590363,32.43499665138683,0.11813708918532319,0.11784248901610396,0.2216578435888785,0.2022816880055943,0.43943352380960105,0.0832502167067309,0.0005079909147363073,0.08325176656676488,54.46438949998992,1,4,6,32.88740187273295,32.718779179165516,0.95,0.05,1.0,,,
mackey_glass,39,multiscale_three_random,esn,9992b49ddf96,0.24940321007750726,0.23270100948548447,25.666666666666668,3.6666666666666665,22,16,39,13600.0,3400.0,1.2642473571384991,0.047261985714223034,1.3115093428527222,51.414534299816296,7,,,,,,,,,,,,,,,,,24.061594572676935,23.789301410056364,0.12670853869775178,0.1267006754738071,0.24940321007750726,0.23270100948548447,0.43723110952435357,0.08059761023969164,0.0010177942009881227,0.08060403638394797,53.468558599983226,1,4,6,24.080176280660833,23.86214392865016,0.95,0.05,1.0,,,
mackey_glass,40,tapped_delay_ridge,tapped_delay_ridge,9a9199a75441,0.2532644532202934,0.23231001128988876,21.333333333333332,1.0,5,19,40,3468.0,3468.0,0.43039088570887024,0.09986205714189314,0.5302529428507634,10.611348500096938,7,,,,,,,,,,,,,,,,,50.0478684133359,50.0,0.15554651981521614,0.1602516523920514,0.2532644532202934,0.23231001128988876,0.19966485237957732,0.039318699369015726,0.006907308254611113,0.03992080945315684,14.804310400068061,1,1,1,50.054082953456046,50.0,,,,50,quadratic,1e-06
mackey_glass,41,cycle_jump_j7,esn,9992b49ddf96,0.25533047433249156,0.22796297614689306,21.666666666666668,3.6666666666666665,7,17,41,13600.0,3400.0,1.2275944571436932,0.048283757144028126,1.2758782142877212,53.3815588999787,7,,,,,,,,,,,,,,,,,48.23355018853029,48.11449320112865,0.13241966774707967,0.1318744297597234,0.25533047433249156,0.22796297614689306,0.4253540142848838,0.07858564998531951,0.0044836504072453265,0.07871345186554544,55.374310200037144,1,4,6,48.1561978228728,48.06642301952991,0.95,0.05,1.0,,,
mackey_glass,42,simple_rnn,torch_simple_rnn,084341ab599f,0.2707681410439306,,28.0,6.0,14,28,42,21154.0,21154.0,55.70487901428299,,55.79459694285573,5328.41050729993,7,128,0.01,0.0,200,32,1,,800,50,1.0,windowed,50,auto,True,True,,34.232655147045854,33.18793067001187,0.179903839125145,,0.2707681410439306,,18.59819898095191,25.32521444380062,,25.32573282456112,6825.014685099886,6,6,6,,,,,,,,
mackey_glass,43,cycle_scr,esn,92bfaaea8b8b,0.28913027149722614,0.18789408789899364,30.666666666666668,4.333333333333333,2,47,43,13600.0,3400.0,1.125902700009257,0.04717504286132421,1.1730777428705812,46.21971390008548,7,,,,,,,,,,,,,,,,,68.30943062119499,68.1315831291853,0.5166417298326035,0.4965829298539017,0.28913027149722614,0.18789408789899364,0.39108475238026585,0.049295546888764016,0.0017964356846144908,0.04932826901718008,48.231842100016365,2,5,6,69.01553422323029,68.86554513337319,1.0,0.05,1.0,,,
mackey_glass,44,tapped_delay_ridge,tapped_delay_ridge,f81eab77cd40,0.32655140417723644,,27.666666666666668,2.3333333333333335,19,20,44,1768.0,1768.0,0.2200653714327408,,0.26808005714389893,10.611348500096938,7,,,,,,,,,,,,,,,,,25.09028767545411,25.0,0.1579445405960549,,0.32655140417723644,,0.08936001904796631,0.04668857829090646,,0.04587457437820964,14.804310400068061,3,2,2,,,,,,25,quadratic,1e-06
mackey_glass,45,tapped_delay_ridge,tapped_delay_ridge,a6aa1bed1edb,0.3487289974870463,,25.666666666666668,2.6666666666666665,6,26,45,1734.0,1734.0,0.3224491857233391,,0.3915417428631502,10.611348500096938,7,,,,,,,,,,,,,,,,,50.046560438148205,50.000208516928886,0.175744291942719,,0.3487289974870463,,0.13051391428771672,0.06375333084947978,,0.06620050465116536,14.804310400068061,2,3,3,,,,,,50,raw,1e-06
mackey_glass,46,tapped_delay_ridge,tapped_delay_ridge,6c6534af441c,0.3501754236308924,,32.0,4.0,20,30,46,884.0,884.0,0.13348339998836828,,0.18179264285260746,10.611348500096938,7,,,,,,,,,,,,,,,,,25.082237131545146,25.000954383008963,0.18660152339507835,,0.3501754236308924,,0.06059754761753582,0.009048376497302994,,0.009657351811665243,14.804310400068061,4,4,4,,,,,,25,raw,1e-06
mackey_glass,47,tapped_delay_ridge,tapped_delay_ridge,85b8bdf21c0a,0.3593929670839774,,40.333333333333336,5.0,33,41,47,748.0,748.0,0.076391942857299,,0.11415115714355904,10.611348500096938,7,,,,,,,,,,,,,,,,,10.125568575402017,10.008784225073867,0.35437726886014465,,0.3593929670839774,,0.03805038571451968,0.005785028886248465,,0.006430893624166698,14.804310400068061,5,5,5,,,,,,10,quadratic,1e-06
mackey_glass,48,tapped_delay_ridge,tapped_delay_ridge,e5146fb1df11,0.39978671015381984,,41.666666666666664,6.0,35,42,48,374.0,374.0,0.05048351428870644,,0.08839914286051812,10.611348500096938,7,,,,,,,,,,,,,,,,,10.09945691376663,10.012118376274131,0.35803647761290774,,0.39978671015381984,,0.02946638095350604,0.0022335586706320235,,0.003420532749088066,14.804310400068061,6,6,6,,,,,,10,raw,1e-06
