config_id,spectral_radius,input_scaling,leak_rate,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std,rank_narma10,rank_mg,rank_mc,aggregate_rank,n_seeds
9dee4b91ded8,0.7,0.4,1.0,0.1570296857315701,0.04061362895173429,0.1278365137348208,0.018258043860753505,1.7559967923852277e-12,4.272202624379167e-13,1.7937619308848762e-12,4.609792453267341e-13,13.960564051036538,0.4110333917066611,93,14,139,82.0,5
fc01cbd8804c,0.8,0.05,0.9,0.14856248203811145,0.036786615677282274,0.12966422287950768,0.013644510621506437,2.1025595161107287e-11,2.313858963498024e-12,2.024308021879814e-11,1.9924444341174647e-12,20.601541842355267,0.7473355943617606,72,142,33,82.33333333333333,5
7cac7de131c3,1.0,0.15,0.6,0.16573621351278492,0.01719553919560954,0.16069139092998921,0.012487582931884941,5.038813940354677e-12,1.6856662102978871e-12,4.694278743661209e-12,1.7426298191945857e-12,17.429012068731748,0.7999615741231364,110,69,71,83.33333333333333,5
aacbc395b88c,0.7,0.15,0.9,0.13939386634148826,0.0354031798424092,0.11670158277705445,0.01466204763129745,7.380539394746764e-12,9.296351074040422e-13,6.797651452104373e-12,9.757634530440354e-13,15.766356175228713,0.27238894160817023,58,91,101,83.33333333333333,5
b91874646580,1.0,0.2,0.6,0.16940953364895922,0.01807359445243728,0.16457894570377554,0.01175226762800839,3.708747501605447e-12,1.0542129864741819e-12,3.3967736069302956e-12,1.2702889259239109e-12,16.39115739081955,0.6682414107832542,117,48,87,84.0,5
15d61a684a93,0.7,0.2,0.8,0.13334843513144234,0.0286678978335012,0.10869470123718723,0.00700462542289553,4.982749167403916e-12,1.071370038138153e-12,4.461546976498344e-12,9.4563205853997e-13,13.933965338599041,0.21634705648447347,48,67,141,85.33333333333333,5
2d382bf713db,0.7,0.4,0.8,0.14276828537073732,0.02995850371058146,0.11695172947414241,0.008081120711251583,2.5156747213779456e-12,9.084268585518923e-13,2.607490472260447e-12,1.0963081659711047e-12,12.32757044026383,0.2713257687176036,60,28,172,86.66666666666667,5
7abf50ed0613,1.0,0.1,0.6,0.162229864415301,0.014710468719459493,0.1576059001171325,0.015527953070971547,9.100833704013237e-12,3.6235078662339952e-12,8.219186821175705e-12,3.0810557244142137e-12,18.745692380568162,0.9457104329736442,104,102,56,87.33333333333333,5
92bfaaea8b8b,1.0,0.05,1.0,0.15632036470074467,0.03354282525702,0.1325350949089314,0.027296793503380497,1.0569481236825007e-10,1.8202183656894282e-10,1.2783351046373662e-11,1.0365630271064332e-11,32.592943284460645,0.8303659604453631,91,173,1,88.33333333333333,5
dc4c45de4adf,1.0,0.1,1.0,0.1534919758172786,0.03227629417895825,0.13000159528699706,0.02666416440243036,6.891145066418937e-10,1.324047718606979e-09,1.516233321710709e-11,2.2476238782602178e-11,28.927399340356704,0.7532463869966936,82,180,4,88.66666666666667,5
